FID,latitude,longitude, INT_REFNO, PREFIX, UDI, Neighborhood_Name, BDNUM, TEXT_NBR, 2014 White %, 2014 Black%, 2014 MedianIncome, Bachelor's Degree  %,,,,,
51,39.78373,-100.445882,-2144132500, REFNO,23175, Northrop,75,75,82,9,75428,60.8,,,,MapQuest Open,country
52,39.78373,-100.445882,-2144138300, REFNO,23117, Sheridan,17,17,67,15,43524,33.2,,,,MapQuest Open,country
53,39.78373,-100.445882,-2144138200, REFNO,23118, Logan Park,18,18,69,6,50987,37.8,,,,MapQuest Open,country
54,39.78373,-100.445882,-2144138100, REFNO,23119, Windom Park,19,19,80,6,60922,49.9,,,,MapQuest Open,country
55,39.78373,-100.445882,-2144133100, REFNO,23169, Linden Hills,69,69,85,5,93909,71.8,,,,MapQuest Open,country
56,39.78373,-100.445882,-2144133000, REFNO,23170, East Harriet,70,70,88,1,83266,65.4,,,,MapQuest Open,country
57,39.78373,-100.445882,-2144132900, REFNO,23171, King Field,71,71,81,4,74606,64,,,,MapQuest Open,country
58,39.78373,-100.445882,-2144131600, REFNO,23184, Morris Park,84,84,77,10,62045,37,,,,MapQuest Open,country
59,39.78373,-100.445882,-2144131500, REFNO,23185, Mid - City Industrial,85,85,63,16,38875,56.8,,,,MapQuest Open,country
60,39.78373,-100.445882,-2144134800, REFNO,23152, Midtown Phillips,91,91,25,30,46055,23.6,,,,MapQuest Open,country
61,39.78373,-100.445882,-2144135100, REFNO,23149, West Calhoun,49,49,85,0,72500,68.3,,,,MapQuest Open,country
62,39.78373,-100.445882,-2144135000, REFNO,23150, Bryn - Mawr,50,50,83,6,101250,74.6,,,,MapQuest Open,country
63,39.78373,-100.445882,-2144138000, REFNO,23120, Northeast Park,20,20,61,12,50208,39.4,,,,MapQuest Open,country
64,39.78373,-100.445882,-2144137900, REFNO,23121, St. Anthony West,21,21,76,6,67191,58.2,,,,MapQuest Open,country
65,39.78373,-100.445882,-2144137800, REFNO,23122, St. Anthony East,22,22,59,19,30245,35.6,,,,MapQuest Open,country
66,39.78373,-100.445882,-2144134600, REFNO,23154, Central,54,54,25,22,42856,26.4,,,,MapQuest Open,country
67,39.78373,-100.445882,-2144134500, REFNO,23155, Powderhorn Park,55,55,46,13,50432,37.4,,,,MapQuest Open,country
68,39.78373,-100.445882,-2144134400, REFNO,23156, Corcoran,56,56,50,14,54722,32.9,,,,MapQuest Open,country
69,39.78373,-100.445882,-2144134300, REFNO,23157, Bryant,57,57,31,25,50964,25.4,,,,MapQuest Open,country
70,39.78373,-100.445882,-2144133300, REFNO,23167, Kenny,67,67,85,0,103903,62.8,,,,MapQuest Open,country
71,39.78373,-100.445882,-2144133400, REFNO,23166, Armatage,66,66,83,2,99818,62.2,,,,MapQuest Open,country
72,39.78373,-100.445882,-2144137700, REFNO,23123, Beltrami,23,23,61,12,50208,39.4,,,,MapQuest Open,country
73,39.78373,-100.445882,-2144135900, REFNO,23141, Cedar - Isles - Dean,41,41,88,0,118750,75.8,,,,MapQuest Open,country
